id,sample_name,sample_type,pH,concentration,temperature,recorded_at,date
42,UNK-005-AK,unknown,11.2,0.05,1777890657530931,2026-05-04 10:30:57.530931+00:00,2026-05-04
41,UNK-004-AK,unknown,6.4,0.02,1777890657523043,2026-05-04 10:30:57.523043+00:00,2026-05-04
40,UNK-003-AK,unknown,9.5,0.015,1777890657513207,2026-05-04 10:30:57.513207+00:00,2026-05-04
39,UNK-002-AK,unknown,3.8,0.03,1777890657506274,2026-05-04 10:30:57.506274+00:00,2026-05-04
38,NEU-005-AK,neutral,7.0,0.0001,1777890657490386,2026-05-04 10:30:57.490386+00:00,2026-05-04
37,NEU-004-AK,neutral,7.3,0.0008,1777890657479767,2026-05-04 10:30:57.479767+00:00,2026-05-04
36,NEU-003-AK,neutral,6.9,0.001,1777890657471078,2026-05-04 10:30:57.471078+00:00,2026-05-04
35,NEU-002-AK,neutral,7.1,0.0005,1777890657463506,2026-05-04 10:30:57.463506+00:00,2026-05-04
34,BUF-011-AK,buffer,8.8,0.075,1777890657455174,2026-05-04 10:30:57.455174+00:00,2026-05-04
33,BUF-010-AK,buffer,4.5,0.05,1777890657444024,2026-05-04 10:30:57.444024+00:00,2026-05-04
32,BUF-009-AK,buffer,7.4,0.1,1777890657436224,2026-05-04 10:30:57.436224+00:00,2026-05-04
31,BUF-008-AK,buffer,6.0,0.2,1777890657428900,2026-05-04 10:30:57.428900+00:00,2026-05-04
30,BUF-007-AK,buffer,9.0,0.05,1777890657421105,2026-05-04 10:30:57.421105+00:00,2026-05-04
29,BUF-006-AK,buffer,8.0,0.05,1777890657411968,2026-05-04 10:30:57.411968+00:00,2026-05-04
28,BUF-005-AK,buffer,5.0,0.1,1777890657403970,2026-05-04 10:30:57.403970+00:00,2026-05-04
27,BUF-004-AK,buffer,6.8,0.05,1777890657394173,2026-05-04 10:30:57.394173+00:00,2026-05-04
26,BAS-010-AK,base,13.5,0.5,1777890657384719,2026-05-04 10:30:57.384719+00:00,2026-05-04
25,BAS-009-AK,base,7.8,0.005,1777890657375495,2026-05-04 10:30:57.375495+00:00,2026-05-04
24,BAS-008-AK,base,10.2,0.05,1777890657365323,2026-05-04 10:30:57.365323+00:00,2026-05-04
23,BAS-007-AK,base,12.0,0.2,1777890657357259,2026-05-04 10:30:57.357259+00:00,2026-05-04
22,BAS-006-AK,base,8.3,0.01,1777890657341701,2026-05-04 10:30:57.341701+00:00,2026-05-04
21,BAS-005-AK,base,9.2,0.025,1777890657332366,2026-05-04 10:30:57.332366+00:00,2026-05-04
20,BAS-004-AK,base,13.0,0.1,1777890657322635,2026-05-04 10:30:57.322635+00:00,2026-05-04
19,BAS-003-AK,base,11.5,0.05,1777890657313798,2026-05-04 10:30:57.313798+00:00,2026-05-04
18,ACD-011-AK,acid,4.8,0.075,1777890657305710,2026-05-04 10:30:57.305710+00:00,2026-05-04
17,ACD-010-AK,acid,2.1,0.3,1777890657295433,2026-05-04 10:30:57.295433+00:00,2026-05-04
16,ACD-009-AK,acid,6.2,0.005,1777890657285878,2026-05-04 10:30:57.285878+00:00,2026-05-04
15,ACD-008-AK,acid,3.3,0.15,1777890657276796,2026-05-04 10:30:57.276796+00:00,2026-05-04
14,ACD-007-AK,acid,5.1,0.01,1777890657268880,2026-05-04 10:30:57.268880+00:00,2026-05-04
13,ACD-006-AK,acid,1.5,0.5,1777890657255991,2026-05-04 10:30:57.255991+00:00,2026-05-04
12,ACD-005-AK,acid,2.8,0.25,1777890657245743,2026-05-04 10:30:57.245743+00:00,2026-05-04
11,ACD-004-AK,acid,4.2,0.05,1777890657234592,2026-05-04 10:30:57.234592+00:00,2026-05-04
10,UNK-001-AK,unknown,5.6,0.02,1776947873951826,2026-04-23 12:37:53.951826+00:00,2026-04-23
9,NEU-001-AK,neutral,6.98,0.01,1776947873943388,2026-04-23 12:37:53.943388+00:00,2026-04-23
8,BUF-003-AK,buffer,9.2,0.05,1776947873933243,2026-04-23 12:37:53.933243+00:00,2026-04-23
7,BUF-002-AK,buffer,4.01,0.1,1776947873923468,2026-04-23 12:37:53.923468+00:00,2026-04-23
6,BUF-001-AK,buffer,7.0,0.1,1776947873913722,2026-04-23 12:37:53.913722+00:00,2026-04-23
5,BAS-002-AK,base,10.8,0.025,1776947873904372,2026-04-23 12:37:53.904372+00:00,2026-04-23
4,BAS-001-AK,base,12.5,0.1,1776947873896303,2026-04-23 12:37:53.896303+00:00,2026-04-23
3,ACD-003-AK,acid,1.2,0.1,1776947873877984,2026-04-23 12:37:53.877984+00:00,2026-04-23
2,ACD-002-AK,acid,3.75,24.5,1776862786048829,2026-04-22 12:59:46.048829+00:00,2026-04-22
1,ACD-001-AK,acid,2.1,0.1,1776862786011809,2026-04-22 12:59:46.011809+00:00,2026-04-22
